title,description,date,title_desc_sent_1
HBC shares up on news of likely takeover deal,Baker group poised to gain control of retailer after agreeing to Catalyst Capital's higher asking price,2020-01-06,1
Fed saw last month less risk of U.S. recession,"Central bank noted U.S. economy 'showing resilience' despite trade war, according to minutes of Dec. meeting",2020-01-03,1
"Google parent, Alphabet, just became trillion-dollar company",Some fund managers say they're wondering if now is the time to cash in,2020-01-17,1
"Now is the time for action,' says Mayor Valérie Plante, as Montreal vacancy rate hits 15-year low",Tenants' advocates worry critical housing shortage will lead to 'renters finding themselves on the streets',2020-01-16,0
Bombardier joint venture lands $427 million US contract to build high-speed trains in China,Montreal-based company holds 50% stake in Bombardier Sifang Transportation Ltd.,2020-01-02,0
What Alberta job losses in January mean for Edmonton,"Statistics Canada says Alberta lost 19,000 jobs last month",2020-02-08,-1
"Aurora Cannabis reports quarterly loss following layoffs, writedown and CEO departure","Earnings affected by drop in production, costs of rolling out edibles and vapes",2020-02-13,-1
What's next for Canada if the WHO calls COVID-19 a pandemic?,Schools could close and elective surgeries could be cancelled as officials work to stop spread of virus,2020-02-29,0
Hall of Fame golfer and LPGA great Mickey Wright dies at 85,American won 82 tournaments including 13 majors,2020-02-18,0
"As China deaths hit 722, WHO warns of global shortage of coronavirus protective equipment","UN agency has been sending testing kits, masks, gloves, respirators and gowns",2020-02-08,0
Coronavirus puts a spotlight on the moral compass of America,The individualism the U.S. was founded on might not serve it well in the current public health crisis,2020-03-23,0
Alberta's economic decline will be the 'most severe' the province has ever seen: RBC,Research firm says Western Canada will need to cut oil production by more than 10%,2020-03-27,-1
"Ring of Fire was 'overhyped,' but still 'worth the effort' says Noront Resources",Current plan is for construction of mine to start in 2021 and to open in 2024,2020-03-02,0
"Crude price plummet raises spectre of spending cuts, job losses in Canadian oilpatch","This is one of the biggest shocks we've seen in the last 40 years,' analyst says",2020-03-12,-1
"More than just groceries: Calgarians stock up on guns, water filters, cannabis and home gym equipment",Some stores are seeing more traffic as people prep for the COVID-19 pandemic,2020-03-24,0
How Sask. businesses are 'navigating the unknown' and adapting to stay afloat during COVID-19,"From food and drink to working out, nearly everything has changed because of the pandemic",2020-04-21,0
What's happened in Canada since WHO declared COVID-19 a pandemic,Canada had more than 100 confirmed cases on March 11 when pandemic declared,2020-04-11,0
"Canada Pension Plan board president says the retirement fund is safe, despite economic downturn","‘This is one thing they should take off their list to worry about,’ says Mark Machin",2020-04-06,0
CBC News poll: Why the economic crisis could speed up transition to renewable energy,"Poll suggests Albertans support energy transition, but it’s complicated",2020-04-16,0
Struggling with nightmares and sleepless nights? Don't let pandemic stress ruin your rest,All the bad sleep habits that we have can be exacerbated by this',2020-04-15,0
The pandemic is creating a season of anxiety in hard-hit farm sectors,Canada isn't running out of food — but some producers may be running out of time,2020-05-06,0
This is what a trip to the dentist could look like in B.C. when offices reopen,Expect pre-appointment telephone screening and sparsely furnished waiting rooms,2020-05-09,0
Seniors to receive up to $500 in a one-time payment to offset added costs due to COVID-19,PM promises help for long-term care facilities after pandemic exposed vulnerabilities,2020-05-13,0
"SNC-Lavalin to stand trial on corruption charges, Quebec judge rules",Quebec engineering giant accused of bribing Libyan officials while Gadhafi in power,2019-05-29,0
New U.S. rule aimed at Huawei's influence focuses on semiconductor suppliers,"Most chip manufacturers rely on equipment produced in U.S., including Apple and Qualcomm supplier",2020-05-15,0
Oilpatch pushes for construction to start immediately on green-lit Trans Mountain pipeline,"Federal cabinet approved controversial project Tuesday, but hurdles remain",2019-06-18,0
"Office buildings turn to apartments, bring downtown Calgary back to life",Calgary and Edmonton's young demographics make it a good fit for creating new rental units,2019-06-18,0
Quebec business owners say Groupon owes them cash as its northern presence fades,"Company shuttered its Montreal sales office in March, and local businesses say it's been hard to get in touch",2019-06-07,0
U.S. Congress launches antitrust probe into big tech companies,"Officials didn't say which firms are being investigated, as shares in Facebook, Google, Amazon and Apple fall",2019-06-04,-1
"What to cook in June: Spring's bounty of sorrel, radishes, garlic scapes and strawberries is finally here","From sorrel sauce to berry cordials to a new kind of pesto, here’s how to make the most of it",2019-06-04,0
Edmonton-based cannabis retailer set to grow with investment from global retailer,Couche-Tard makes strategic cannabis move with investment in Fire & Flower,2019-07-24,1
